label,data_cpu_usage,ml_cpu_usage
vertex-2024-08-06 21:15:41.749596,95.51666666666668,59.69114285714288
vertex-2024-08-06 21:31:51.729299,94.725,58.993277310924384
vertex-2024-08-06 21:43:22.418006,85.46428571428574,57.89315068493153
vertex-2024-08-06 21:53:59.723652,94.7,58.764044943820245
vertex-2024-08-06 23:13:34.305689,84.75714285714287,59.27653631284917
vertex-2024-08-07 22:21:22.693324,88.20000000000002,59.83636363636364
vertex-2024-08-07 23:10:56.009227,87.41538461538462,58.673961218836574
vertex-2024-08-07 23:22:33.114872,93.9,60.93217391304349
vertex-2024-08-07 23:38:38.414626,92.24166666666667,59.686000000000014
vertex-2024-08-10 14:38:51.919169,91.4,61.25059171597634
vertex-2024-08-10 15:37:59.021407,85.9076923076923,61.038872403560845
vertex-2024-08-10 16:15:08.421850,92.23333333333332,60.23670520231215
vertex-2024-08-10 16:32:09.234805,88.925,60.46502890173412
vertex-2024-08-10 16:46:18.023698,92.23333333333332,59.57528735632184
vertex-2024-08-10 17:07:25.429170,83.5769230769231,59.20710227272728
vertex-2024-08-10 17:17:54.517307,90.56666666666668,61.03905325443788
vertex-2024-08-10 17:27:16.898082,93.90833333333332,60.94882352941178
vertex-2024-08-10 17:37:46.588042,85.9076923076923,62.78076923076924
vertex-2024-08-10 17:50:19.906967,96.9818181818182,61.64805970149256
vertex-2024-08-10 18:05:31.013646,86.67692307692307,60.947058823529424
vertex-2024-08-10 18:58:34.392950,89.71666666666668,61.16035502958581
vertex-2024-08-10 21:48:10.977865,93.04166666666669,61.361356932153406
vertex-2024-08-10 21:58:32.906848,83.60769230769232,61.45845697329378
vertex-2024-08-10 22:08:25.056761,88.92500000000001,61.88187311178249
vertex-2024-08-10 22:34:25.097408,91.39166666666664,61.90240963855423
vertex-2024-08-10 23:45:48.509000,94.71666666666668,60.88216374269008
vertex-2024-08-11 14:59:06.300172,88.96923076923078,59.20767045454547
vertex-2024-08-11 15:37:47.251814,89.73333333333335,59.716809116809145
vertex-2024-08-11 15:50:59.808730,86.66153846153847,59.29228571428573
vertex-2024-08-11 16:21:40.106761,90.58333333333331,59.91734104046245
vertex-2024-08-11 18:21:32.944881,93.89166666666668,59.32028571428573
vertex-2024-08-12 18:42:39.876925,93.06666666666666,60.12080924855493
vertex-2024-08-12 18:51:58.019869,87.46153846153847,59.54314285714288
vertex-2024-08-12 19:01:16.593601,84.35384615384618,60.06028571428573
vertex-2024-08-12 19:10:34.650493,87.43076923076924,60.38483965014579
vertex-2024-08-12 19:19:52.102193,84.36153846153846,60.03275862068967
vertex-2024-08-12 19:29:11.596108,93.88333333333333,58.39022346368717
vertex-2024-08-12 19:38:26.933147,90.55833333333334,60.26647230320701
vertex-2024-08-12 19:47:42.104066,85.90769230769232,60.29736842105265
vertex-2024-08-12 19:56:57.206034,94.74166666666666,60.94867256637168
vertex-2024-08-12 20:06:13.494282,90.56666666666668,59.806857142857154
vertex-2024-08-12 20:19:23.634536,95.55833333333334,59.91710144927536
vertex-2024-08-12 20:28:38.858093,86.66923076923078,61.03117647058825
vertex-2024-08-12 20:37:56.754817,87.44615384615385,59.97687861271677
vertex-2024-08-12 20:47:12.538121,82.83846153846154,60.38517441860466
vertex-2024-08-12 20:56:29.894221,91.4,59.778000000000006
vertex-2024-08-12 21:05:47.525813,94.71666666666668,59.80662824207494
vertex-2024-08-12 21:15:03.477417,84.37692307692308,60.40806916426514
vertex-2024-08-12 21:24:26.621322,93.075,59.51704545454547
vertex-2024-08-12 21:33:43.707181,91.375,60.09335260115609
vertex-2024-08-12 21:43:00.595484,91.38333333333333,60.32390670553938
vertex-2024-08-12 23:12:03.487270,87.43076923076923,59.15718309859156
vertex-2024-08-12 23:21:22.475122,85.13076923076925,59.48567335243555
vertex-2024-08-12 23:30:41.720954,88.98461538461538,59.28796561604587
vertex-2024-08-12 23:39:57.827138,88.20769230769231,60.11810344827588
vertex-2024-08-12 23:49:15.261754,93.875,59.6905982905983
vertex-2024-08-12 23:58:32.249168,94.73333333333332,58.22116991643456
vertex-2024-08-13 00:07:50.253840,94.70833333333331,59.71293103448278
vertex-2024-08-13 00:17:09.029505,93.9,59.1819209039548
vertex-2024-08-13 00:26:29.440312,83.60000000000001,58.44679665738163
vertex-2024-08-13 00:35:47.288636,94.71666666666668,60.00488505747128
vertex-2024-08-13 08:07:39.582486,93.89166666666668,67.38557046979867
vertex-2024-08-13 08:16:55.028646,87.43846153846154,60.09241982507291
vertex-2024-08-13 08:26:13.934938,96.68461538461536,61.45680473372781
vertex-2024-08-13 08:35:28.407653,95.55833333333334,60.35959302325583
vertex-2024-08-13 08:44:40.401927,92.24166666666667,64.20376175548591
vertex-2024-08-13 08:53:50.886449,88.23846153846155,64.77987220447284
vertex-2024-08-13 09:03:02.369683,90.53846153846152,64.76761904761905
vertex-2024-08-13 09:12:14.622434,89.74615384615385,61.09473684210529
vertex-2024-08-13 09:21:29.184625,90.5,60.74100294985252
vertex-2024-08-13 09:30:43.449395,92.20833333333331,61.955855855855866
vertex-2024-08-13 17:18:41.881228,83.60769230769232,54.78527131782947
vertex-2024-08-13 17:27:23.624690,92.48181818181818,67.1149466192171
vertex-2024-08-13 17:36:18.496566,80.53846153846153,63.894822006472495
vertex-2024-08-13 17:45:13.237128,86.45833333333331,65.33621262458472
vertex-2024-08-13 17:54:00.085813,85.93076923076924,73.13671875
vertex-2024-08-13 18:02:43.846086,81.45833333333333,68.04166666666669
vertex-2024-08-13 18:11:54.798000,84.37692307692308,66.68844884488449
vertex-2024-08-13 18:21:07.356058,92.23333333333332,63.29287925696594
vertex-2024-08-13 18:30:04.155441,94.3090909090909,73.30610687022902
vertex-2024-08-13 18:39:07.228742,87.43846153846154,69.22048611111111
vertex-2024-08-13 18:48:20.467062,86.6923076923077,63.00365853658538
vertex-2024-08-13 18:57:34.195243,93.89166666666668,64.12024922118381
vertex-2024-08-13 19:06:49.452439,88.22307692307692,62.31891891891895
vertex-2024-08-13 19:16:03.768490,86.19285714285714,64.84846625766872
vertex-2024-08-13 19:25:19.591554,89.73076923076925,62.70909090909092
vertex-2024-08-13 19:34:35.433896,92.225,61.18058823529413
vertex-2024-08-13 19:43:52.164219,88.96923076923078,62.45263157894739
vertex-2024-08-13 19:53:06.868673,89.73846153846155,64.56677215189875
vertex-2024-08-13 20:02:23.903030,89.73076923076925,59.3194285714286
vertex-2024-08-13 22:43:06.167289,92.23333333333332,61.25145348837209
vertex-2024-08-13 22:52:21.411371,85.13846153846154,60.201149425287376
vertex-2024-08-13 23:01:39.885644,91.26923076923076,62.85981595092026
vertex-2024-08-13 23:10:57.976840,88.96153846153847,60.11136363636364
vertex-2024-08-13 23:20:17.143834,86.6846153846154,61.38911764705883
vertex-2024-08-13 23:29:33.319834,84.75714285714287,62.20966767371603
vertex-2024-08-13 23:38:46.283996,83.61538461538461,62.78580246913581
vertex-2024-08-13 23:47:57.262741,85.15384615384616,63.42993827160495
vertex-2024-08-13 23:57:07.447890,93.88333333333334,63.99296636085629
vertex-2024-08-14 00:06:32.097657,95.55,58.67620396600567
vertex-2024-08-16 23:52:20.729734-boost,82.84615384615384,75.46615969581748
vertex-2024-08-16 23:57:22.511580-boost,89.76666666666667,75.87575757575758
vertex-2024-08-17 00:02:24.513326-boost,84.3846153846154,75.62954545454545
vertex-2024-08-17 00:07:26.089800-boost,90.59999999999998,75.38098859315588
vertex-2024-08-17 00:12:27.879148-boost,84.40769230769232,75.15057034220533
vertex-2024-08-17 00:17:29.710067-boost,86.71538461538461,75.03999999999999
vertex-2024-08-17 00:22:30.740429-boost,89.0076923076923,75.5532319391635
vertex-2024-08-17 00:27:31.529851-boost,95.6,76.51899224806202
vertex-2024-08-17 00:32:32.241858-boost,95.56666666666666,75.33901515151516
vertex-2024-08-17 00:37:33.330985-boost,90.6,75.9735632183908
vertex-2024-08-17 08:37:18.267209-boost,94.73333333333332,78.57704918032788
vertex-2024-08-17 08:40:36.803723-boost,84.04285714285713,78.73571428571431
vertex-2024-08-17 08:43:54.537502-boost,84.05714285714286,78.46630434782608
vertex-2024-08-17 08:47:13.296418-boost,74.7875,77.83297297297298
vertex-2024-08-17 08:50:32.281515-boost,85.45714285714287,77.11604278074869
vertex-2024-08-17 08:53:49.471684-boost,72.3125,79.00939226519338
vertex-2024-08-17 08:57:07.000960-boost,72.30000000000001,79.01208791208795
vertex-2024-08-17 09:00:24.332833-boost,85.47142857142856,77.3535135135135
vertex-2024-08-17 09:03:42.604193-boost,88.3,77.0117021276596
vertex-2024-08-17 09:07:01.058736-boost,85.47142857142856,76.83010752688173
vertex-2024-08-17 09:10:19.091081-boost,84.04285714285716,77.21122994652407
vertex-2024-08-17 09:13:37.024887-boost,82.62857142857142,78.46885245901642
vertex-2024-08-17 09:16:54.022156-boost,85.45714285714287,79.07087912087914
vertex-2024-08-17 09:20:11.563335-boost,96.40000000000002,78.62841530054646
vertex-2024-08-17 09:23:29.460910-boost,85.44285714285715,78.24754098360657
vertex-2024-08-17 09:26:47.355336-boost,84.07142857142857,78.03695652173914
vertex-2024-08-17 09:30:04.717560-boost,82.64285714285714,79.00983606557381
vertex-2024-08-17 09:33:22.409665-boost,73.5625,77.9913043478261
vertex-2024-08-17 09:36:39.517765-boost,86.94285714285715,78.73406593406597
vertex-2024-08-17 09:39:57.989509-boost,82.61428571428571,79.88051282051283
vertex-2024-08-17 09:43:15.690733-boost,82.6,78.68791208791211
vertex-2024-08-17 09:46:33.412615-boost,81.2,79.07795698924731
vertex-2024-08-17 09:49:50.218137-boost,86.88571428571429,78.19781420765028
vertex-2024-08-17 09:53:07.320281-boost,84.08571428571429,78.80274725274728
vertex-2024-08-17 09:56:24.462449-boost,82.61428571428571,78.73956043956046
vertex-2024-08-17 09:59:42.845896-boost,84.04285714285713,78.15760869565217
vertex-2024-08-17 10:03:03.526637-boost,88.3142857142857,78.02032085561498
vertex-2024-08-17 10:06:25.958245-boost,85.45714285714284,77.9375
vertex-2024-08-17 10:09:46.423709-boost,84.07142857142857,77.9427027027027
vertex-2024-08-17 10:13:03.322830-boost,96.4,78.6879120879121
vertex-2024-08-17 10:16:24.330163-boost,86.88571428571429,78.85329670329669
vertex-2024-08-17 10:19:40.827283-boost,82.6,78.90054945054946
vertex-2024-08-17 10:22:57.945113-boost,82.57142857142857,77.9983695652174
vertex-2024-08-17 10:26:16.007389-boost,86.87142857142858,78.26010928961749
vertex-2024-08-17 10:29:33.445047-boost,85.45714285714284,78.47322404371586
vertex-2024-08-17 10:32:50.619657-boost,94.73333333333332,77.88423913043479
vertex-2024-08-17 10:36:07.868252-boost,84.07142857142856,78.20326086956523
vertex-2024-08-17 10:39:26.363734-boost,84.02857142857144,78.26086956521739
vertex-2024-08-17 10:42:45.332103-boost,88.28571428571429,76.90425531914896
vertex-2024-08-17 10:46:06.813848-boost,76.0125,76.67748691099479
vertex-2024-08-17 23:32:34.335112-boost,96.36666666666666,78.7824175824176
vertex-2024-08-17 23:35:52.421834-boost,77.2625,78.75494505494507
vertex-2024-08-17 23:39:10.427135-boost,73.525,78.23879781420769
vertex-2024-08-17 23:42:27.772263-boost,74.775,77.92282608695653
vertex-2024-08-17 23:45:45.583924-boost,92.98333333333332,77.87228260869566
vertex-2024-08-17 23:49:03.916685-boost,85.45714285714287,77.36021505376345
vertex-2024-08-17 23:52:22.123905-boost,73.5,77.56000000000002
vertex-2024-08-17 23:55:40.107493-boost,81.17142857142858,78.08641304347827
vertex-2024-08-17 23:58:59.062605-boost,85.38571428571427,76.6303191489362
vertex-2024-08-18 00:02:21.841143-boost,84.07142857142857,76.31570680628273
vertex-2024-08-18 00:05:46.554429-boost,85.47142857142856,75.55416666666667
vertex-2024-08-18 00:09:10.803876-boost,86.87142857142858,76.11518324607331
vertex-2024-08-18 00:12:35.594080-boost,82.55714285714285,75.16787564766841
vertex-2024-08-18 00:16:00.116473-boost,77.23750000000001,75.54365482233504
vertex-2024-08-18 00:19:24.185494-boost,97.95,76.03157894736844
vertex-2024-08-18 00:22:45.878587-boost,85.41428571428571,77.10909090909092
vertex-2024-08-18 00:26:07.955045-boost,74.7625,77.36951871657756
vertex-2024-08-18 00:29:30.559386-boost,98.06666666666666,77.36203208556152
vertex-2024-08-18 00:32:51.733700-boost,85.41428571428571,77.04545454545456
vertex-2024-08-18 00:36:13.573231-boost,83.97142857142856,76.74255319148938
vertex-2024-08-18 00:39:34.687449-boost,84.0,76.58297872340427
vertex-2024-08-18 00:42:56.619314-boost,81.17142857142856,76.78052631578949
vertex-2024-08-18 00:46:18.328853-boost,86.82857142857142,76.85797872340426
vertex-2024-08-18 00:49:40.534632-boost,84.05714285714285,76.51648936170214
vertex-2024-08-18 00:53:01.099094-boost,89.74285714285713,77.3830687830688
vertex-2024-08-18 00:56:21.635315-boost,96.26666666666664,76.79679144385028
vertex-2024-08-18 00:59:41.677262-boost,84.01428571428572,76.99465240641712
vertex-2024-08-18 01:03:03.772605-boost,74.775,76.74255319148938
vertex-2024-08-18 01:06:25.407212-boost,83.92857142857142,76.63457446808513
vertex-2024-08-18 01:09:46.855183-boost,93.01666666666668,76.00736842105263
vertex-2024-08-18 01:13:08.421819-boost,77.25,76.85478723404256
vertex-2024-08-18 01:16:28.598263-boost,86.87142857142858,78.6736263736264
vertex-2024-08-18 01:19:47.776860-boost,77.2375,79.65856353591163
vertex-2024-08-18 01:23:06.317820-boost,83.98571428571428,78.29726775956287
vertex-2024-08-18 01:26:24.622338-boost,86.88571428571429,78.40601092896178
vertex-2024-08-18 01:29:43.049512-boost,84.0,78.13423913043479
vertex-2024-08-18 01:33:04.059123-boost,84.01428571428572,76.96614583333336
vertex-2024-08-18 01:36:26.900782-boost,89.67142857142856,76.14105263157897
vertex-2024-08-18 01:39:46.034050-boost,79.7625,77.5252688172043
vertex-2024-08-18 01:43:05.252519-boost,92.98333333333332,76.39523809523811
vertex-2024-08-18 01:46:24.629602-boost,78.4625,78.29891304347827
vertex-2024-08-18 01:49:44.893818-boost,78.4875,77.97049180327872
vertex-2024-08-18 01:53:03.882060-boost,78.525,78.66648351648354
vertex-2024-08-18 01:56:23.387302-boost,88.3,77.40322580645162
vertex-2024-08-18 01:59:42.565835-boost,96.33333333333331,78.08695652173915
vertex-2024-08-18 02:03:11.194669-boost,86.82857142857142,75.70364583333334
vertex-2024-08-18 02:06:32.860474-boost,74.7625,76.694708994709
vertex-2024-08-18 02:09:52.690660-boost,89.68571428571428,77.29731182795699
vertex-2024-08-18 02:13:13.048996-boost,74.7875,78.51639344262298
vertex-2024-08-18 02:16:33.329298-boost,88.28571428571429,78.73442622950823
